年,週,縣市,total
2008,14,台北市,303
2008,15,台北市,436
2008,16,台北市,571
2008,17,台北市,582
2008,18,台北市,709
2008,19,台北市,919
2008,20,台北市,1208
2008,21,台北市,1246
2008,22,台北市,1548
2008,23,台北市,1819
2008,24,台北市,2284
2008,25,台北市,2756
2008,26,台北市,2728
2008,27,台北市,1929
2008,28,台北市,1255
2008,29,台北市,782
2008,30,台北市,586
2008,31,台北市,399
2008,32,台北市,386
2008,33,台北市,307
2008,34,台北市,286
2008,35,台北市,215
2008,36,台北市,248
2008,37,台北市,271
2008,38,台北市,319
2008,39,台北市,339
2008,40,台北市,292
2008,41,台北市,333
2008,42,台北市,334
2008,43,台北市,466
2008,44,台北市,550
2008,45,台北市,531
2008,46,台北市,616
2008,47,台北市,585
2008,48,台北市,457
2008,49,台北市,456
2008,50,台北市,426
2008,51,台北市,386
2008,52,台北市,300
2009,1,台北市,129
2009,2,台北市,299
2009,3,台北市,288
2009,4,台北市,260
2009,5,台北市,134
2009,6,台北市,179
2009,7,台北市,197
2009,8,台北市,206
2009,9,台北市,193
2009,10,台北市,195
2009,11,台北市,217
2009,12,台北市,218
2009,13,台北市,226
2009,14,台北市,272
2009,15,台北市,441
2009,16,台北市,568
2009,17,台北市,687
2009,18,台北市,578
2009,19,台北市,486
2009,20,台北市,499
2009,21,台北市,514
2009,22,台北市,525
2009,23,台北市,576
2009,24,台北市,626
2009,25,台北市,692
2009,26,台北市,737
2009,27,台北市,869
2009,28,台北市,891
2009,29,台北市,688
2009,30,台北市,724
2009,31,台北市,671
2009,32,台北市,724
2009,33,台北市,538
2009,34,台北市,531
2009,35,台北市,478
2009,36,台北市,413
2009,37,台北市,369
2009,38,台北市,266
2009,39,台北市,316
2009,40,台北市,280
2009,41,台北市,284
2009,42,台北市,198
2009,43,台北市,200
2009,44,台北市,198
2009,45,台北市,182
2009,46,台北市,188
2009,47,台北市,174
2009,48,台北市,166
2009,49,台北市,170
2009,50,台北市,200
2009,51,台北市,170
2009,52,台北市,171
2009,53,台北市,221
2010,1,台北市,257
2010,2,台北市,276
2010,3,台北市,295
2010,4,台北市,374
2010,5,台北市,469
2010,6,台北市,576
2010,7,台北市,223
2010,8,台北市,305
2010,9,台北市,413
2010,10,台北市,362
2010,11,台北市,433
2010,12,台北市,577
2010,13,台北市,601
2010,14,台北市,581
2010,15,台北市,663
2010,16,台北市,919
2010,17,台北市,1147
2010,18,台北市,1331
2010,19,台北市,1518
2010,20,台北市,1993
2010,21,台北市,2328
2010,22,台北市,2381
2010,23,台北市,2345
2010,24,台北市,2677
2010,25,台北市,3301
2010,26,台北市,3177
2010,27,台北市,4083
2010,28,台北市,3439
2010,29,台北市,3122
2010,30,台北市,2921
2010,31,台北市,2619
2010,32,台北市,2342
2010,33,台北市,2303
2010,34,台北市,2065
2010,35,台北市,1730
2010,36,台北市,1889
2010,37,台北市,2129
2010,38,台北市,1947
2010,39,台北市,1982
2010,40,台北市,1847
2010,41,台北市,1794
2010,42,台北市,1822
2010,43,台北市,1832
2010,44,台北市,1434
2010,45,台北市,1321
2010,46,台北市,1084
2010,47,台北市,1009
2010,48,台北市,917
2010,49,台北市,767
2010,50,台北市,580
2010,51,台北市,597
2010,52,台北市,483
2011,1,台北市,428
2011,2,台北市,412
2011,3,台北市,410
2011,4,台北市,349
2011,5,台北市,176
2011,6,台北市,228
2011,7,台北市,162
2011,8,台北市,191
2011,9,台北市,175
2011,10,台北市,174
2011,11,台北市,164
2011,12,台北市,205
2011,13,台北市,201
2011,14,台北市,219
2011,15,台北市,226
2011,16,台北市,256
2011,17,台北市,297
2011,18,台北市,399
2011,19,台北市,662
2011,20,台北市,822
2011,21,台北市,1011
2011,22,台北市,1265
2011,23,台北市,1290
2011,24,台北市,1513
2011,25,台北市,1499
2011,26,台北市,1375
2011,27,台北市,1383
2011,28,台北市,1135
2011,29,台北市,1189
2011,30,台北市,1251
2011,31,台北市,1152
2011,32,台北市,1052
2011,33,台北市,942
2011,34,台北市,788
2011,35,台北市,695
2011,36,台北市,680
2011,37,台北市,701
2011,38,台北市,734
2011,39,台北市,630
2011,40,台北市,748
2011,41,台北市,460
2011,42,台北市,743
2011,43,台北市,783
2011,44,台北市,814
2011,45,台北市,900
2011,46,台北市,1006
2011,47,台北市,1082
2011,48,台北市,903
2011,49,台北市,963
2011,50,台北市,962
2011,51,台北市,1107
2011,52,台北市,1009
2012,1,台北市,886
2012,2,台北市,822
2012,3,台北市,955
2012,4,台北市,451
2012,5,台北市,561
2012,6,台北市,592
2012,7,台北市,658
2012,8,台北市,728
2012,9,台北市,703
2012,10,台北市,755
2012,11,台北市,723
2012,12,台北市,903
2012,13,台北市,1031
2012,14,台北市,762
2012,15,台北市,915
2012,16,台北市,964
2012,17,台北市,1030
2012,18,台北市,1590
2012,19,台北市,1710
2012,20,台北市,1767
2012,21,台北市,2217
2012,22,台北市,2237
2012,23,台北市,2403
2012,24,台北市,2427
2012,25,台北市,2478
2012,26,台北市,2488
2012,27,台北市,2374
2012,28,台北市,1798
2012,29,台北市,1490
2012,30,台北市,1157
2012,31,台北市,895
2012,32,台北市,800
2012,33,台北市,716
2012,34,台北市,582
2012,35,台北市,535
2012,36,台北市,485
2012,37,台北市,523
2012,38,台北市,480
2012,39,台北市,431
2012,40,台北市,432
2012,41,台北市,428
2012,42,台北市,322
2012,43,台北市,332
2012,44,台北市,348
2012,45,台北市,394
2012,46,台北市,347
2012,47,台北市,345
2012,48,台北市,388
2012,49,台北市,461
2012,50,台北市,438
2012,51,台北市,472
2012,52,台北市,555
2013,1,台北市,517
2013,2,台北市,583
2013,3,台北市,610
2013,4,台北市,603
2013,5,台北市,541
2013,6,台北市,511
2013,7,台北市,374
2013,8,台北市,382
2013,9,台北市,367
2013,10,台北市,356
2013,11,台北市,376
2013,12,台北市,377
2013,13,台北市,399
2013,14,台北市,353
2013,15,台北市,424
2013,16,台北市,367
2013,17,台北市,500
2013,18,台北市,674
2013,19,台北市,721
2013,20,台北市,983
2013,21,台北市,1674
2013,22,台北市,2304
2013,23,台北市,2693
2013,24,台北市,2513
2013,25,台北市,2424
2013,26,台北市,2430
2013,27,台北市,2232
2013,28,台北市,1963
2013,29,台北市,1725
2013,30,台北市,1454
2013,31,台北市,1400
2013,32,台北市,1272
2013,33,台北市,1138
2013,34,台北市,872
2013,35,台北市,796
2013,36,台北市,750
2013,37,台北市,678
2013,38,台北市,712
2013,39,台北市,784
2013,40,台北市,858
2013,41,台北市,929
2013,42,台北市,1030
2013,43,台北市,869
2013,44,台北市,846
2013,45,台北市,901
2013,46,台北市,1163
2013,47,台北市,1178
2013,48,台北市,927
2013,49,台北市,761
2013,50,台北市,647
2013,51,台北市,697
2013,52,台北市,696
2014,1,台北市,824
2014,2,台北市,886
2014,3,台北市,788
2014,4,台北市,687
2014,5,台北市,514
2014,6,台北市,340
2014,7,台北市,287
2014,8,台北市,382
2014,9,台北市,432
2014,10,台北市,428
2014,11,台北市,364
2014,12,台北市,442
2014,13,台北市,391
2014,14,台北市,430
2014,15,台北市,629
2014,16,台北市,712
2014,17,台北市,880
2014,18,台北市,1099
2014,19,台北市,1039
2014,20,台北市,1479
2014,21,台北市,2060
2014,22,台北市,2926
2014,23,台北市,3413
2014,24,台北市,3606
2014,25,台北市,3581
2014,26,台北市,3368
2014,27,台北市,2627
2014,28,台北市,1962
2014,29,台北市,1586
2014,30,台北市,1202
2014,31,台北市,896
2014,32,台北市,800
2014,33,台北市,664
2014,34,台北市,562
2014,35,台北市,459
2014,36,台北市,414
2014,37,台北市,427
2014,38,台北市,432
2014,39,台北市,467
2014,40,台北市,417
2014,41,台北市,399
2014,42,台北市,337
2014,43,台北市,310
2014,44,台北市,376
2014,45,台北市,398
2014,46,台北市,342
2014,47,台北市,359
2014,48,台北市,427
2014,49,台北市,452
2014,50,台北市,523
2014,51,台北市,402
2014,52,台北市,417
2014,53,台北市,425
2015,1,台北市,439
2015,2,台北市,432
2015,3,台北市,530
2015,4,台北市,513
2015,5,台北市,444
2015,6,台北市,373
2015,7,台北市,254
2015,8,台北市,300
2015,9,台北市,286
2015,10,台北市,300
2015,11,台北市,403
2015,12,台北市,499
2015,13,台北市,457
2015,14,台北市,597
2015,15,台北市,514
2015,16,台北市,621
2015,17,台北市,809
2015,18,台北市,943
2015,19,台北市,1217
2015,20,台北市,1382
2015,21,台北市,1450
2015,22,台北市,1747
2015,23,台北市,1937
2015,24,台北市,1848
2015,25,台北市,1941
2015,26,台北市,1793
2015,27,台北市,1630
2015,28,台北市,1374
2015,29,台北市,1156
2015,30,台北市,1088
2015,31,台北市,853
2015,32,台北市,843
2015,33,台北市,774
2015,34,台北市,795
2015,35,台北市,825
2015,36,台北市,1140
2015,37,台北市,1064
2015,38,台北市,1142
2015,39,台北市,1022
2015,40,台北市,1106
2015,41,台北市,1194
2015,42,台北市,1010
2015,43,台北市,1209
2015,44,台北市,1337
2015,45,台北市,1375
2015,46,台北市,1517
2015,47,台北市,1546
2015,48,台北市,1320
2015,49,台北市,1180
2015,50,台北市,1120
2015,51,台北市,1043
2015,52,台北市,952
2016,1,台北市,970
2016,2,台北市,859
2016,3,台北市,849
2016,4,台北市,658
2016,5,台北市,523
2016,6,台北市,276
2016,7,台北市,379
2016,8,台北市,363
2016,9,台北市,275
2016,10,台北市,304
2016,11,台北市,301
2016,12,台北市,382
2016,13,台北市,418
2016,14,台北市,484
2016,15,台北市,584
2016,16,台北市,688
2016,17,台北市,811
2016,18,台北市,1081
2016,19,台北市,1423
2016,20,台北市,1528
2016,21,台北市,1756
2016,22,台北市,2091
2016,23,台北市,2036
2016,24,台北市,2174
2016,25,台北市,2073
2016,26,台北市,1881
2016,27,台北市,1622
2016,28,台北市,1243
2016,29,台北市,1043
2016,30,台北市,954
2016,31,台北市,809
2016,32,台北市,749
2016,33,台北市,753
2016,34,台北市,654
2016,35,台北市,615
2016,36,台北市,508
2016,37,台北市,462
2016,38,台北市,721
2016,39,台北市,656
2016,40,台北市,645
2016,41,台北市,647
2016,42,台北市,857
2016,43,台北市,989
2016,44,台北市,1108
2016,45,台北市,1178
2016,46,台北市,1262
2016,47,台北市,1734
2016,48,台北市,1978
2016,49,台北市,1983
2016,50,台北市,1913
2016,51,台北市,1692
2016,52,台北市,1909
2017,1,台北市,1483
2017,2,台北市,1330
2017,3,台北市,1181
2017,4,台北市,834
2017,5,台北市,482
2017,6,台北市,444
2017,7,台北市,400
2017,8,台北市,333
2017,9,台北市,379
2017,10,台北市,299
2017,11,台北市,348
2017,12,台北市,401
2017,13,台北市,420
2017,14,台北市,276
2017,15,台北市,303
2017,16,台北市,330
2017,17,台北市,354
2017,18,台北市,378
2017,19,台北市,400
2017,20,台北市,497
2017,21,台北市,553
2017,22,台北市,550
2017,23,台北市,711
2017,24,台北市,928
2017,25,台北市,1079
2017,26,台北市,1199
2017,27,台北市,1253
2017,28,台北市,1362
2017,29,台北市,1390
2017,30,台北市,1234
2017,31,台北市,1080
2017,32,台北市,1122
2017,33,台北市,1162
2017,34,台北市,1067
2017,35,台北市,1240
2017,36,台北市,1315
2017,37,台北市,1494
2017,38,台北市,1556
2017,39,台北市,1581
2017,40,台北市,1530
2017,41,台北市,1377
2017,42,台北市,1462
2017,43,台北市,1558
2017,44,台北市,1410
2017,45,台北市,1395
2017,46,台北市,1419
2017,47,台北市,1377
2017,48,台北市,1239
2017,49,台北市,1088
2017,50,台北市,1025
2017,51,台北市,887
2017,52,台北市,831
2018,1,台北市,767
2018,2,台北市,717
2018,3,台北市,576
2018,4,台北市,565
2018,5,台北市,446
2018,6,台北市,325
2018,7,台北市,237
2018,8,台北市,273
2018,9,台北市,310
2018,10,台北市,337
2018,11,台北市,356
2018,12,台北市,337
